count,site,yr,vegPeriod
2,site1,2017,256.64125
3,site1,2011,256.64125
10,site1,2012,256.64125
5,site1,2014,256.64125
3,site1,2002,256.64125
1,site1,2003,256.64125
1,site1,2009,256.64125
2,site1,1999,256.64125
3,site1,1997,256.64125
10,site1,2006,256.64125
1,site1,2010,256.64125
8,site1,2007,256.64125
2,site1,2001,256.64125
4,site1,2005,256.64125
5,site1,2008,256.64125
4,site1,2000,256.64125
4,site2,2003,263.12125
4,site2,2004,263.12125
3,site2,2017,263.12125
9,site2,2011,263.12125
2,site2,2014,263.12125
5,site2,2013,263.12125
3,site2,2012,263.12125
1,site2,1997,263.12125
3,site2,2008,263.12125
3,site2,2000,263.12125
3,site2,2016,263.12125
3,site2,1998,263.12125
1,site2,2010,263.12125
4,site2,2001,263.12125
5,site2,2006,263.12125
3,site2,2002,263.12125
2,site2,2009,263.12125
4,site2,2015,263.12125
1,site3,2012,250.9675
0,site3,2008,250.9675
4,site3,2006,250.9675
2,site3,2009,250.9675
4,site3,2007,250.9675
6,site3,2003,250.9675
3,site3,2004,250.9675
1,site3,1999,250.9675
3,site3,2017,250.9675
5,site3,2005,250.9675
5,site3,2013,250.9675
3,site3,2011,250.9675
4,site3,2014,250.9675
3,site3,2016,250.9675
1,site3,2010,250.9675
7,site3,2002,250.9675
1,site3,2001,250.9675
3,site3,2000,250.9675
4,site3,2015,250.9675
3,site4,2009,244.5475
6,site4,2008,244.5475
2,site4,2015,244.5475
3,site4,2000,244.5475
5,site4,1998,244.5475
3,site4,2014,244.5475
0,site4,1997,244.5475
3,site4,2001,244.5475
7,site4,2016,244.5475
2,site4,2006,244.5475
4,site4,2017,244.5475
0,site4,1999,244.5475
2,site4,2004,244.5475
5,site4,2011,244.5475
4,site4,2012,244.5475
1,site4,2010,244.5475
3,site4,2002,244.5475
5,site5,2011,245.86625
6,site5,2008,245.86625
2,site5,2005,245.86625
2,site5,2010,245.86625
6,site5,2009,245.86625
8,site5,2012,245.86625
3,site5,2015,245.86625
5,site5,2013,245.86625
10,site5,2007,245.86625
6,site5,2014,245.86625
8,site5,2017,245.86625
2,site5,2001,245.86625
9,site5,2016,245.86625
11,site5,2006,245.86625
5,site5,2003,245.86625
6,site5,2004,245.86625
4,site5,2002,245.86625
0,site6,2001,237.69
4,site6,2016,237.69
3,site6,1999,237.69
4,site6,2012,237.69
0,site6,2006,237.69
1,site6,2000,237.69
1,site6,2007,237.69
4,site6,2010,237.69
5,site6,2002,237.69
5,site6,1997,237.69
0,site6,2008,237.69
4,site6,1998,237.69
3,site6,2017,237.69
2,site6,2011,237.69
1,site6,2009,237.69
8,site6,2014,237.69
3,site6,2004,237.69
2,site6,2005,237.69
6,site6,2013,237.69
